country,date,GDP growth,Unemployment_TLF,Unemployment_AEF,Unemployment_AEM,Unemployment_AET
United Kingdom,1989-01-01,2.57760269228832,,,,
United Kingdom,1988-01-01,5.73241372190093,,,,
United Kingdom,1987-01-01,5.39273830702331,,,,
United Kingdom,1986-01-01,3.15034054316553,,,,
United Kingdom,1985-01-01,4.14741499833957,,,,
United Kingdom,1984-01-01,2.26910517791023,,,,
United Kingdom,1983-01-01,4.22185627744311,,,,
United Kingdom,1982-01-01,1.99489131235828,,,,
United Kingdom,1981-01-01,-0.787743815803793,,,,
United Kingdom,1980-01-01,-2.03136778824265,,,,
United Kingdom,1979-01-01,3.74901651043007,,,,
United Kingdom,1978-01-01,4.20426054866481,,,,
United Kingdom,1977-01-01,2.45775046032897,,,,
United Kingdom,1976-01-01,2.91026617792257,,,,
United Kingdom,1975-01-01,-1.47364947033378,,,,
United Kingdom,1974-01-01,-2.48440400338406,,,,
United Kingdom,1973-01-01,6.52384844544498,,,,
United Kingdom,1972-01-01,4.32166766730984,,,,
United Kingdom,1971-01-01,3.50471735146473,,,,
United Kingdom,1970-01-01,6.31790666607679,,,,
United Kingdom,1969-01-01,1.92409683469894,,,,
United Kingdom,1968-01-01,5.44108343766115,,,,
United Kingdom,1967-01-01,2.78647464167507,,,,
United Kingdom,1966-01-01,1.57310041405223,,,,
United Kingdom,1965-01-01,2.14217654354569,,,,
United Kingdom,1964-01-01,5.53365938602349,,,,
United Kingdom,1963-01-01,4.8743839976478,,,,
United Kingdom,1962-01-01,1.1029096492187,,,,
United Kingdom,1961-01-01,2.67711894345372,,,,
United Kingdom,1960-01-01,,,,,
India,2020-01-01,-7.25175478178826,7.11,,,
India,2019-01-01,4.0415541865323,5.27,23.4200000762939,12.8400001525879,15.1099996566772
India,2018-01-01,6.53298901139763,5.33,24.6900005340576,12.6400003433228,15.2600002288818
India,2017-01-01,6.79538341897911,5.41,,,
India,2016-01-01,8.25630550179086,5.51,,,
India,2015-01-01,7.99625378571471,5.56,,,
India,2014-01-01,7.41022760508854,5.6,,,
India,2013-01-01,6.38610640094825,5.67,,,
India,2012-01-01,5.45638875297365,5.66,16.6100006103516,6.5,8.36999988555908
India,2011-01-01,5.24131500140663,5.65,,,
India,2010-01-01,8.49758470158106,5.65,16.7800006866455,5.42000007629395,7.44000005722046
India,2009-01-01,7.86188883303498,5.61,,,
India,2008-01-01,3.08669805953289,5.36,,,
India,2007-01-01,7.66081506504928,5.41,,,
India,2006-01-01,8.06073257303272,5.52,,,
India,2005-01-01,7.92343062149763,5.65,20.1700000762939,6.30000019073486,8.72000026702881
India,2004-01-01,7.92293661286503,5.72,,,
India,2003-01-01,7.86038147553259,5.77,,,
India,2002-01-01,3.8039753213758,5.77,,,
India,2001-01-01,4.82396626390641,5.73,,,
India,2000-01-01,3.84099115681285,5.75,21.1200008392334,8.39000034332275,10.3100004196167
India,1999-01-01,8.84575556105509,5.78,,,
India,1998-01-01,6.18441582090618,5.74,,,
India,1997-01-01,4.0498208490926,5.74,,,
India,1996-01-01,7.5495222488198,5.75,,,
India,1995-01-01,7.57449184032379,5.75,,,
India,1994-01-01,6.65892406734025,5.75,21.0900001525879,8.11999988555908,10.0100002288818
India,1993-01-01,4.75077621965234,5.72,,,
India,1992-01-01,5.48239602167047,5.61,,,
India,1991-01-01,1.05683143294308,5.55,,,
India,1990-01-01,5.53345456306511,,,,
India,1989-01-01,5.94734332826501,,,,
India,1988-01-01,9.62778291984819,,,,
India,1987-01-01,3.96535563390586,,,,
India,1986-01-01,4.77656417048958,,,,
India,1985-01-01,5.25429922330882,,,,
India,1984-01-01,3.82073785597366,,,,
India,1983-01-01,7.28889290124583,,,,
India,1982-01-01,3.47573324031229,,,,
India,1981-01-01,6.00620362381754,,,,
India,1980-01-01,6.73582152799834,,,,
India,1979-01-01,-5.23818270278925,,,,
India,1978-01-01,5.71253208900177,,,,
India,1977-01-01,7.2547645858358,,,,
India,1976-01-01,1.66310363661293,,,,
India,1975-01-01,9.14991201480568,,,,
India,1974-01-01,1.18533626034041,,,,
India,1973-01-01,3.29552113522355,,,,
India,1972-01-01,-0.553301312377599,,,,
India,1971-01-01,1.64293038388746,,,,
India,1970-01-01,5.15722973608288,,,,
India,1969-01-01,6.53970029627997,,,,
India,1968-01-01,3.38792917600293,,,,
India,1967-01-01,7.82596303033039,,,,
India,1966-01-01,-0.0553287698314762,,,,
India,1965-01-01,-2.63577010985357,,,,
India,1964-01-01,7.45295012233009,,,,
India,1963-01-01,5.99435326095099,,,,
India,1962-01-01,2.93112773666002,,,,
India,1961-01-01,3.72274253269818,,,,
India,1960-01-01,,,,,
Israel,2020-01-01,-2.15342848939964,4.61,,,
Israel,2019-01-01,3.77358980957163,3.8,,,
Israel,2018-01-01,3.98342459356549,4.0,,,
Israel,2017-01-01,4.37704442820299,4.22,2.73000001907349,2.79999995231628,2.75999999046326
Israel,2016-01-01,4.46275381784649,4.8,2.86999988555908,2.99000000953674,2.92000007629395
Israel,2015-01-01,2.27967941916557,5.25,3.70000004768372,2.94000005722046,3.34999990463257
Israel,2014-01-01,4.12474686061435,5.89,3.75999999046326,3.5,3.65000009536743
Israel,2013-01-01,4.77720234875498,6.21,3.86999988555908,3.8199999332428,3.84999990463257
Israel,2012-01-01,2.82299620463245,6.86,4.11999988555908,3.80999994277954,3.98000001907349
Israel,2011-01-01,5.54259000063291,7.14,4.34000015258789,3.63000011444092,4.01000022888184
Israel,2010-01-01,5.68470729269168,8.48,4.63000011444092,4.1100001335144,4.3899998664856
Israel,2009-01-01,1.14297477996882,9.53,5.3899998664856,5.03000020980835,5.23000001907349
Israel,2008-01-01,3.45885767016172,7.7,3.90000009536743,3.69000005722046,3.79999995231628
Israel,2007-01-01,6.10186594962585,9.38,4.3899998664856,3.34999990463257,3.90000009536743
